,Glaspercentage,Isolatie/infiltratie,g-waarde glas,Spuiventilatie,Zonwering,Oriëntatie,Woningtype,Klimaatbestand,Ruimtetype,GTO
377,0.7,Goed,0.6,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,14
379,0.3,Slecht,0.3,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
381,0.5,Slecht,0.3,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
383,0.7,Slecht,0.3,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
385,0.3,Matig,0.3,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
387,0.5,Matig,0.3,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
389,0.7,Matig,0.3,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
391,0.3,Goed,0.3,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
393,0.5,Goed,0.3,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
395,0.7,Goed,0.3,21:00 tot 7:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
397,0.3,Slecht,0.6,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,44
399,0.5,Slecht,0.6,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,53
401,0.7,Slecht,0.6,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,68
403,0.3,Matig,0.6,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,50
405,0.5,Matig,0.6,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,65
407,0.7,Matig,0.6,8:00 tot 22:00,Overstek,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,75
